type;start;end;diff
POST;1.6244474;4.1678234;2.5433759999999994
GET;4.1678234;8.2305566;4.0627332
POST;8.2307055;10.7292031;2.4984976000000003
GET;10.7292031;14.7890459;4.0598428
POST;14.7892311;17.3008311;2.5115999999999996
GET;17.3008311;21.3591608;4.058329700000002
POST;21.3593215;23.8265245;2.4672030000000014
GET;23.8265245;27.8891452;4.0626207
POST;27.8892849;30.3912523;2.5019674000000016
GET;30.3912523;34.4782746;4.087022299999997
POST;34.4784238;36.9709404;2.492516600000002
GET;36.9709404;41.0412096;4.0702691999999985
POST;41.0413558;43.5325151;2.4911592999999996
GET;43.5325151;47.5949575;4.062442400000002
POST;47.5951415;50.099789;2.5046475000000044
GET;50.099789;54.1586972;4.058908199999998
POST;54.1588436;56.6691745;2.5103308999999996
GET;56.6691745;60.7295571;4.060382600000004
POST;60.7297704;63.315344;2.5855736000000036
GET;63.315344;67.3898187;4.074474700000003
POST;67.3899697;69.8751187;2.485149000000007
GET;69.8751187;73.9353269;4.060208200000005
POST;73.9354706;76.4235765;2.4881058999999937
GET;76.4235765;80.4816048;4.058028300000004
POST;80.4817462;82.9615667;2.4798205000000024
GET;82.9615667;87.0315245;4.069957799999997
POST;87.0316654;89.5271932;2.495527800000005
GET;89.5271932;93.5858807;4.058687500000005
POST;93.5860215;96.063925;2.4779034999999965
GET;96.063925;100.1186707;4.054745699999998
POST;100.1188223;102.6355112;2.5166888999999912
GET;102.6355112;106.7033697;4.0678585
POST;106.7035107;109.1905714;2.4870607000000007
GET;109.1905714;113.249284;4.058712600000007
POST;113.2494266;115.7532921;2.503865499999989
GET;115.7532921;119.8280323;4.074740200000008
POST;119.828237;122.4323254;2.604088399999995
GET;122.4323254;126.4821158;4.049790400000006
POST;126.4822696;128.98541;2.5031404000000066
GET;128.98541;133.0481037;4.062693700000011
POST;133.0482497;135.6523115;2.6040617999999824
GET;135.6523115;139.7128431;4.06053159999999
POST;139.7130173;142.2093672;2.4963499000000127
GET;142.2093672;146.2664197;4.0570524999999975
POST;146.2666073;148.752523;2.4859156999999925
GET;148.752523;152.8074563;4.054933300000016
POST;152.8076002;155.3069293;2.4993291000000113
GET;155.3069293;159.3719496;4.065020299999986
POST;159.372173;161.8760847;2.5039117000000033
GET;161.8760847;165.9375186;4.061433899999997
POST;165.9376769;168.419257;2.4815800999999738
GET;168.419257;172.4625126;4.043255600000009
POST;172.4626873;174.9423875;2.4797001999999964
GET;174.9423875;179.0007373;4.058349800000002
POST;179.0009134;181.4755638;2.4746504000000016
GET;181.4755638;185.5322251;4.056661300000002
POST;185.5323654;188.0222684;2.489902999999998
GET;188.0222684;192.0821428;4.059874400000012
POST;192.0823206;194.5504121;2.4680914999999857
GET;194.5504121;198.6091387;4.0587266
POST;198.6092799;201.1025225;2.493242600000002
GET;201.1025225;205.16221;4.0596874999999955
POST;205.1623625;207.6388247;2.476462199999986
GET;207.6388247;211.6995659;4.060741200000024
POST;211.699716;214.19518;2.4954639999999984
GET;214.19518;218.2604913;4.065311300000019
POST;218.2608975;220.7422344;2.4813369000000023
GET;220.7422344;224.8012799;4.059045499999996
POST;224.8015353;227.3103383;2.5088030000000003
GET;227.3103383;231.3540524;4.043714099999988
POST;231.3542753;233.8463469;2.4920715999999743
GET;233.8463469;237.9068773;4.060530400000005
POST;237.9070176;240.3878912;2.4808736000000238
GET;240.3878912;244.4499834;4.062092199999995
POST;244.4502046;247.0607785;2.6105738999999915
GET;247.0607785;251.1227947;4.062016199999988
POST;251.1229389;253.6089953;2.4860563999999954
GET;253.6089953;257.6658767;4.056881400000009
POST;257.6661278;260.1397434;2.4736155999999596
GET;260.1397434;264.1980879;4.058344500000032
POST;264.1982277;266.7126577;2.5144300000000044
GET;266.7126577;270.7767092;4.064051500000005
POST;270.7768624;273.368656;2.59179359999996
GET;273.368656;277.4290893;4.0604333
POST;277.4292645;279.9253451;2.4960806000000275
GET;279.9253451;283.9885186;4.063173500000005
POST;283.9886862;286.5903464;2.6016601999999693
GET;286.5903464;290.6381957;4.047849299999996
POST;290.6383397;293.141705;2.5033652999999845
GET;293.141705;297.207928;4.0662229999999795
POST;297.2080711;299.6985694;2.490498300000013
GET;299.6985694;303.760675;4.062105599999995
POST;303.7608416;306.2367073;2.4758656999999857
GET;306.2367073;310.3101209;4.073413600000038
POST;310.3102496;313.0119848;2.7017351999999732
GET;313.0119848;317.0715522;4.059567399999992
POST;317.0717093;319.5498616;2.4781522999999765
GET;319.5498616;323.6080016;4.058140000000037
POST;323.6082171;326.1114131;2.5031960000000026
GET;326.1114131;330.1691153;4.057702199999994
