type;start;end;diff
POST;1.4759817;2.6731093;1.1971276000000002
GET;2.6731093;4.5708515;1.8977421999999997
POST;4.5710487;5.761;1.1899512999999997
GET;5.761;7.7009011;1.9399011000000002
POST;7.7012949;8.8579359;1.1566409999999996
GET;8.8579359;10.734154;1.8762181000000009
POST;10.7344221;11.9867611;1.252339000000001
GET;11.9867611;13.9026708;1.9159096999999985
POST;13.902813;15.0676346;1.1648215999999998
GET;15.0676346;16.9538219;1.8861873000000013
POST;16.9541519;18.1425754;1.188423499999999
GET;18.1425754;20.0584573;1.9158819000000022
POST;20.0586723;21.2477039;1.1890315999999999
GET;21.2477039;23.1435144;1.8958104999999996
POST;23.1436847;24.3474912;1.203806499999999
GET;24.3474912;26.2803249;1.9328336999999998
POST;26.2804821;27.4724317;1.191949600000001
GET;27.4724317;29.3678811;1.8954494000000004
POST;29.3682449;30.5097393;1.1414943999999991
GET;30.5097393;32.4574921;1.9477528000000035
POST;32.457801;33.7174345;1.2596334999999996
GET;33.7174345;35.6072738;1.8898392999999984
POST;35.6075415;36.7744579;1.166916399999998
GET;36.7744579;38.6929249;1.9184669999999997
POST;38.6930939;39.8838318;1.190737900000002
GET;39.8838318;41.8068308;1.9229989999999972
POST;41.8073745;42.9310509;1.1236764000000008
GET;42.9310509;44.9003175;1.9692665999999974
POST;44.9005024;46.0229952;1.1224927999999963
GET;46.0229952;47.9476711;1.924675900000004
POST;47.9479375;49.1249465;1.1770089999999982
GET;49.1249465;51.0394067;1.9144602000000006
POST;51.0397472;52.187979;1.1482317999999978
GET;52.187979;54.0722962;1.8843171999999981
POST;54.0725397;55.2952629;1.2227231999999972
GET;55.2952629;57.2081477;1.9128848000000005
POST;57.2083445;58.343357;1.1350124999999949
GET;58.343357;60.2615476;1.9181906000000026
POST;60.2619131;61.4388659;1.1769528000000022
GET;61.4388659;63.3238756;1.8850096999999977
POST;63.3240338;64.4738745;1.1498406999999915
GET;64.4738745;66.401985;1.9281105000000025
POST;66.4021552;67.5851955;1.1830403000000018
GET;67.5851955;69.4746279;1.889432400000004
POST;69.4750974;70.6805271;1.2054297000000105
GET;70.6805271;72.5727236;1.8921964999999972
POST;72.5733392;73.7761868;1.2028475999999984
GET;73.7761868;75.7689232;1.9927363999999983
POST;75.7691208;76.9202158;1.151094999999998
GET;76.9202158;78.9519798;2.0317640000000097
POST;78.9522892;80.1521392;1.1998499999999979
GET;80.1521392;82.1093383;1.957199100000011
POST;82.1097021;83.3127102;1.203008099999991
GET;83.3127102;85.225392;1.9126818000000014
POST;85.2258542;86.4551358;1.229281599999993
GET;86.4551358;88.3443111;1.889175300000005
POST;88.3444909;89.4920041;1.147513200000006
GET;89.4920041;91.3991886;1.9071844999999996
POST;91.3994098;92.5310527;1.1316429000000028
GET;92.5310527;94.5097073;1.9786545999999987
POST;94.5098965;95.6526014;1.1427048999999982
GET;95.6526014;97.5573944;1.9047930000000122
POST;97.5576276;98.708817;1.1511893999999927
GET;98.708817;100.6301416;1.9213246000000055
POST;100.6306314;101.9775541;1.3469227000000075
GET;101.9775541;104.0789523;2.1013981999999913
POST;104.0791243;105.2025103;1.1233859999999964
GET;105.2025103;107.1853184;1.9828080999999997
POST;107.1856202;108.3491108;1.163490600000003
GET;108.3491108;110.2858338;1.9367230000000006
POST;110.2861428;111.4381015;1.1519587000000087
GET;111.4381015;113.3989432;1.9608417000000031
POST;113.3991035;114.5369629;1.1378594000000106
GET;114.5369629;116.4675077;1.9305447999999927
POST;116.467721;117.740438;1.272717
GET;117.740438;119.6755993;1.9351613000000043
POST;119.6757912;120.833059;1.1572677999999996
GET;120.833059;122.7696861;1.9366270999999955
POST;122.7699225;123.9226387;1.1527161999999862
GET;123.9226387;125.8530113;1.9303726000000125
POST;125.85339;127.0539564;1.2005663999999996
GET;127.0539564;128.950063;1.896106599999996
POST;128.9505655;130.1347398;1.1841742999999951
GET;130.1347398;132.0239342;1.889194400000008
POST;132.0242446;133.2138925;1.1896478999999829
GET;133.2138925;135.1619575;1.948065000000014
POST;135.162464;136.2925418;1.1300778000000093
GET;136.2925418;138.2248111;1.9322693000000015
POST;138.2249452;139.396079;1.1711337999999785
GET;139.396079;141.3084196;1.9123406000000216
POST;141.308748;142.4871212;1.1783731999999816
GET;142.4871212;144.3536625;1.8665413000000228
POST;144.3538636;145.5205517;1.1666880999999876
GET;145.5205517;147.4394812;1.9189294999999902
POST;147.4396312;148.6055285;1.1658972999999833
GET;148.6055285;150.5174606;1.9119321000000014
POST;150.5176503;151.6869767;1.1693263999999886
GET;151.6869767;153.6312197;1.9442430000000002
POST;153.6314566;154.7874017;1.1559450999999967
GET;154.7874017;156.8137521;2.026350399999984
